news_headline,news_article,news_category,full_text,clean_text
OPPO Reno6 Pro 5G with Bokeh Flare Portrait Video now on Sale,"OPPO Reno6 Pro 5G featuring Bokeh Flare Portrait Video, AI Highlight Video and Reno Glow Design is now available for sale. Priced at ₹39,990 for 12GB+256 GB, OPPO said the device is a mini studio that offers a professional video shooting and editing experience. Customers can avail cashback up to ₹4,000; no cost EMI up to 6 months, OPPO added.",technology,"OPPO Reno6 Pro 5G with Bokeh Flare Portrait Video now on Sale. OPPO Reno6 Pro 5G featuring Bokeh Flare Portrait Video, AI Highlight Video and Reno Glow Design is now available for sale. Priced at ₹39,990 for 12GB+256 GB, OPPO said the device is a mini studio that offers a professional video shooting and editing experience. Customers can avail cashback up to ₹4,000; no cost EMI up to 6 months, OPPO added.",oppo reno pro g bokeh flare portrait video sale oppo reno pro g feature bokeh flare portrait video ai highlight video reno glow design available sale price gb gb oppo say device mini studio offer professional video shooting editing experience customer avail cashback no cost emi month oppo add
OPPO Reno6 Pro 5G with Bokeh Flare Portrait Video goes on sale tomorrow,"OPPO Reno6 Pro 5G featuring Bokeh Flare Portrait Video, Focus Lock and AI Highlight Video will go on sale tomorrow. Available for ₹39,990, it comes in two colour options-Aurora Green and Stellar Black. OPPO said the device is a mini studio experience that aims to make the process of shooting and editing videos on your smartphone epic.",technology,"OPPO Reno6 Pro 5G with Bokeh Flare Portrait Video goes on sale tomorrow. OPPO Reno6 Pro 5G featuring Bokeh Flare Portrait Video, Focus Lock and AI Highlight Video will go on sale tomorrow. Available for ₹39,990, it comes in two colour options-Aurora Green and Stellar Black. OPPO said the device is a mini studio experience that aims to make the process of shooting and editing videos on your smartphone epic.",oppo reno pro g bokeh flare portrait video go sale tomorrow oppo reno pro g feature bokeh flare portrait video focus lock ai highlight video go sale tomorrow available come two colour option aurora green stellar black oppo say device mini studio experience aim make process shoot edit video smartphone epic
"Pegasus used for horrible human rights abuses, must be stopped: WhatsApp Head","Head of WhatsApp Will Cathcart on Sunday tweeted, ""NSO's dangerous spyware is used to commit horrible human rights abuses all around the world and it must be stopped."" He was reacting to reports alleging the use of 'Pegasus' by the governments for surveillance. ""We need more companies, and, critically, governments, to take steps to hold NSO Group accountable,"" Cathcart added.",technology,"Pegasus used for horrible human rights abuses, must be stopped: WhatsApp Head. Head of WhatsApp Will Cathcart on Sunday tweeted, ""NSO's dangerous spyware is used to commit horrible human rights abuses all around the world and it must be stopped."" He was reacting to reports alleging the use of 'Pegasus' by the governments for surveillance. ""We need more companies, and, critically, governments, to take steps to hold NSO Group accountable,"" Cathcart added.",pegasus use horrible human right abuse must stop whatsapp head head whatsapp cathcart sunday tweet nso dangerous spyware use commit horrible human right abuse around world must stop react report allege use pegasus government surveillance need company critically government take step hold nso group accountable cathcart add
Zoom to buy Five9 for $14.7 billion in its largest-ever acquisition,Zoom has entered into a definitive agreement to buy 20-year-old cloud-based software company Five9 in a $14.7 billion all-stock deal. It is Zoom's largest-ever acquisition deal so far and the second-biggest US tech deal this year after Microsoft's announcement to buy Nuance for $16 billion. Snapdeal's ex-Chief Product Officer Anand Chandrasekaran is the Executive VP of Product Management at Five9.,technology,Zoom to buy Five9 for $14.7 billion in its largest-ever acquisition. Zoom has entered into a definitive agreement to buy 20-year-old cloud-based software company Five9 in a $14.7 billion all-stock deal. It is Zoom's largest-ever acquisition deal so far and the second-biggest US tech deal this year after Microsoft's announcement to buy Nuance for $16 billion. Snapdeal's ex-Chief Product Officer Anand Chandrasekaran is the Executive VP of Product Management at Five9.,zoom buy five billion large ever acquisition zoom enter definitive agreement buy year old cloud base software company five billion stock deal zoom large ever acquisition deal far second big us tech deal year microsoft announcement buy nuance billion snapdeal ex chief product officer anand chandrasekaran executive vp product management five
Any form of illegal spying impossible in India: IT Minister on Pegasus allegations,"Any form of illegal surveillance is ""not possible"" in India due to ""checks, balances in our laws and robust institutions"", IT Minister Ashwini Vaishnaw said. He said this on reports of alleged use of Pegasus spyware on journalists, activists etc. ""There's a well-established process through which lawful interception of electronic communication is [done] for...national security,"" said Vaishnaw.",technology,"Any form of illegal spying impossible in India: IT Minister on Pegasus allegations. Any form of illegal surveillance is ""not possible"" in India due to ""checks, balances in our laws and robust institutions"", IT Minister Ashwini Vaishnaw said. He said this on reports of alleged use of Pegasus spyware on journalists, activists etc. ""There's a well-established process through which lawful interception of electronic communication is [done] for...national security,"" said Vaishnaw.",form illegal spying impossible india minister pegasus allegation form illegal surveillance not possible india due check balance law robust institution minister ashwini vaishnaw say say report allege use pegasus spyware journalist activist etc well establish process lawful interception electronic communication [ ] national security say vaishnaw
"I'm not really nervous, I'm excited: Jeff Bezos ahead of his space flight","World's richest person Jeff Bezos and his crew for Blue Origin's July 20 space flight appeared on CBS This Morning show on Monday, where Bezos said, ""People keep asking me if I'm nervous. I'm not really nervous. I'm excited."" In another appearance on the TODAY show, the 57-year-old said, ""People say they go into space and they come back changed.""",technology,"I'm not really nervous, I'm excited: Jeff Bezos ahead of his space flight. World's richest person Jeff Bezos and his crew for Blue Origin's July 20 space flight appeared on CBS This Morning show on Monday, where Bezos said, ""People keep asking me if I'm nervous. I'm not really nervous. I'm excited."" In another appearance on the TODAY show, the 57-year-old said, ""People say they go into space and they come back changed.""",I not really nervous I excited jeff bezos ahead space flight world rich person jeff bezos crew blue origin july space flight appear cbs morning show monday bezos say people keep ask I I nervous I not really nervous I excited another appearance today show year old say people say go space come back change
Pegasus maker NSO Group denies spyware used for spying on journalists ,"Israeli surveillance technology firm NSO Group has denied the allegations in a report by Forbidden Stories, Paris-based journalism non-profit organisation, that its spyware Pegasus was used to spy on 180 journalists worldwide including in India. NSO said the report is ""full of wrong assumptions and uncorroborated theories"". It added the allegations have ""no factual basis and are far from reality"".",technology,"Pegasus maker NSO Group denies spyware used for spying on journalists . Israeli surveillance technology firm NSO Group has denied the allegations in a report by Forbidden Stories, Paris-based journalism non-profit organisation, that its spyware Pegasus was used to spy on 180 journalists worldwide including in India. NSO said the report is ""full of wrong assumptions and uncorroborated theories"". It added the allegations have ""no factual basis and are far from reality"".",pegasus maker nso group deny spyware use spy journalist israeli surveillance technology firm nso group deny allegation report forbidden story paris base journalism non profit organisation spyware pegasus use spy journalist worldwide include india nso say report full wrong assumption uncorroborated theory add allegation no factual basis far reality
Jeff Bezos meets 18-yr-old set to be the youngest to fly to space; shares video,"World's richest person Jeff Bezos met 18-year-old Dutch student Oliver Daemen, who's set to be the youngest person to travel to space on July 20. In an Instagram video, Bezos was seen introducing Oliver to the New Shepard rocket in which they are set to travel. ""I think when I will touchdown...come out the vehicle...I'll be speechless,"" Oliver said.",technology,"Jeff Bezos meets 18-yr-old set to be the youngest to fly to space; shares video. World's richest person Jeff Bezos met 18-year-old Dutch student Oliver Daemen, who's set to be the youngest person to travel to space on July 20. In an Instagram video, Bezos was seen introducing Oliver to the New Shepard rocket in which they are set to travel. ""I think when I will touchdown...come out the vehicle...I'll be speechless,"" Oliver said.",jeff bezos meet yr old set young fly space share video world rich person jeff bezos meet year old dutch student oliver daeman set young person travel space july instagram video bezos see introduce oliver new shepard rocket set travel I think I touchdown come vehicle ill speechless oliver say
No substance in Pegasus allegations; it's an attempt to malign India: IT Minister,"There's no substance in the ""sensational"" reports of Pegasus spyware being used to snoop on journalists, ministers and activists in India, IT Minister Ashwini Vaishnaw said on Monday. He said, ""The reports appeared a day before monsoon session of Parliament. This can't be a coincidence."" The reports were an attempt to ""malign Indian democracy and its well-established institutions"", he added.",technology,"No substance in Pegasus allegations; it's an attempt to malign India: IT Minister. There's no substance in the ""sensational"" reports of Pegasus spyware being used to snoop on journalists, ministers and activists in India, IT Minister Ashwini Vaishnaw said on Monday. He said, ""The reports appeared a day before monsoon session of Parliament. This can't be a coincidence."" The reports were an attempt to ""malign Indian democracy and its well-established institutions"", he added.",no substance pegasus allegation attempt malign india minister no substance sensational report pegasus spyware use snoop journalist minister activist india minister ashwini vaishnaw say monday say report appear day monsoon session parliament ca nt coincidence report attempt malign indian democracy well establish institution add
"Ethereum Co-founder to quit crypto industry, cites personal safety concerns","Ethereum's 48-year-old Co-founder Anthony Di Iorio plans to leave the cryptocurrency industry, partially because of personal safety reasons. Iorio, who has had a security team since 2017, told Bloomberg, ""I don't feel necessarily safe in this space...If I was focused on larger problems...I think I'd be safer."" He plans to refocus on philanthropy and other ventures not related to crypto.",technology,"Ethereum Co-founder to quit crypto industry, cites personal safety concerns. Ethereum's 48-year-old Co-founder Anthony Di Iorio plans to leave the cryptocurrency industry, partially because of personal safety reasons. Iorio, who has had a security team since 2017, told Bloomberg, ""I don't feel necessarily safe in this space...If I was focused on larger problems...I think I'd be safer."" He plans to refocus on philanthropy and other ventures not related to crypto.",ethereum co founder quit crypto industry cite personal safety concern ethereum year old co founder anthony di iorio plan leave cryptocurrency industry partially personal safety reason iorio security team since tell bloomberg I nt feel necessarily safe space I focus large problem I think I safe plan refocus philanthropy venture not relate crypto
